"","GEOID","value","year","doy","variable","model"
"1",13255,0.0124697651268356,2021,1,"prcp","cmip6_gfdl-esm4"
"2",13255,1.40459122801569,2021,2,"prcp","cmip6_gfdl-esm4"
"3",13255,0,2021,3,"prcp","cmip6_gfdl-esm4"
"4",13255,0,2021,4,"prcp","cmip6_gfdl-esm4"
"5",13255,0,2021,5,"prcp","cmip6_gfdl-esm4"
"6",13255,0,2021,6,"prcp","cmip6_gfdl-esm4"
"7",13255,0,2021,7,"prcp","cmip6_gfdl-esm4"
"8",13255,0,2021,8,"prcp","cmip6_gfdl-esm4"
"9",13255,0,2021,9,"prcp","cmip6_gfdl-esm4"
"10",13255,0,2021,10,"prcp","cmip6_gfdl-esm4"
"11",13255,0.0423765214674668,2021,11,"prcp","cmip6_gfdl-esm4"
"12",13255,0.0237895105077599,2021,12,"prcp","cmip6_gfdl-esm4"
"13",13255,0,2021,13,"prcp","cmip6_gfdl-esm4"
"14",13255,0,2021,14,"prcp","cmip6_gfdl-esm4"
"15",13255,0.0544521046679192,2021,15,"prcp","cmip6_gfdl-esm4"
"16",13255,2.61745021269015,2021,16,"prcp","cmip6_gfdl-esm4"
"17",13255,0,2021,17,"prcp","cmip6_gfdl-esm4"
"18",13255,0.0222792576614347,2021,18,"prcp","cmip6_gfdl-esm4"
"19",13255,0.216057785319215,2021,19,"prcp","cmip6_gfdl-esm4"
"20",13255,1.92571482514593,2021,20,"prcp","cmip6_gfdl-esm4"
"21",13255,0,2021,21,"prcp","cmip6_gfdl-esm4"
"22",13255,0.596087796214953,2021,22,"prcp","cmip6_gfdl-esm4"
"23",13255,0.236153240739603,2021,23,"prcp","cmip6_gfdl-esm4"
"24",13255,0,2021,24,"prcp","cmip6_gfdl-esm4"
"25",13255,0.111924563052589,2021,25,"prcp","cmip6_gfdl-esm4"
"26",13255,2.19080721728997,2021,26,"prcp","cmip6_gfdl-esm4"
"27",13255,0,2021,27,"prcp","cmip6_gfdl-esm4"
"28",13255,0.0156695005748464,2021,28,"prcp","cmip6_gfdl-esm4"
"29",13255,0.167622094401358,2021,29,"prcp","cmip6_gfdl-esm4"
"30",13255,0.424149755605928,2021,30,"prcp","cmip6_gfdl-esm4"
"31",13255,0.769020919090115,2021,31,"prcp","cmip6_gfdl-esm4"
"32",13255,0.709592174115348,2021,32,"prcp","cmip6_gfdl-esm4"
"33",13255,0,2021,33,"prcp","cmip6_gfdl-esm4"
"34",13255,0,2021,34,"prcp","cmip6_gfdl-esm4"
"35",13255,0,2021,35,"prcp","cmip6_gfdl-esm4"
"36",13255,0,2021,36,"prcp","cmip6_gfdl-esm4"
