"","GEOID","value","year","doy","variable","model"
"1",12085,22.432711964092,2021,1,"tmax","cmip6_gfdl-esm4"
"2",12085,27.3473658846713,2021,2,"tmax","cmip6_gfdl-esm4"
"3",12085,24.954884993893,2021,3,"tmax","cmip6_gfdl-esm4"
"4",12085,24.022721764137,2021,4,"tmax","cmip6_gfdl-esm4"
"5",12085,24.7691604252519,2021,5,"tmax","cmip6_gfdl-esm4"
"6",12085,17.4515976697549,2021,6,"tmax","cmip6_gfdl-esm4"
"7",12085,19.5733143674916,2021,7,"tmax","cmip6_gfdl-esm4"
"8",12085,19.8679961599153,2021,8,"tmax","cmip6_gfdl-esm4"
"9",12085,21.4839963814308,2021,9,"tmax","cmip6_gfdl-esm4"
"10",12085,20.8880702292782,2021,10,"tmax","cmip6_gfdl-esm4"
"11",12085,22.8870051559361,2021,11,"tmax","cmip6_gfdl-esm4"
"12",12085,23.884685476895,2021,12,"tmax","cmip6_gfdl-esm4"
"13",12085,23.6540218068265,2021,13,"tmax","cmip6_gfdl-esm4"
"14",12085,26.3726264153404,2021,14,"tmax","cmip6_gfdl-esm4"
"15",12085,25.1613279572849,2021,15,"tmax","cmip6_gfdl-esm4"
"16",12085,22.6950988857225,2021,16,"tmax","cmip6_gfdl-esm4"
"17",12085,20.8445077698806,2021,17,"tmax","cmip6_gfdl-esm4"
"18",12085,18.0728800061105,2021,18,"tmax","cmip6_gfdl-esm4"
"19",12085,17.6170544744908,2021,19,"tmax","cmip6_gfdl-esm4"
"20",12085,26.3443890911409,2021,20,"tmax","cmip6_gfdl-esm4"
"21",12085,23.9994804152127,2021,21,"tmax","cmip6_gfdl-esm4"
"22",12085,27.6552129153548,2021,22,"tmax","cmip6_gfdl-esm4"
"23",12085,27.523947584218,2021,23,"tmax","cmip6_gfdl-esm4"
"24",12085,22.1121733446231,2021,24,"tmax","cmip6_gfdl-esm4"
"25",12085,20.2057319191681,2021,25,"tmax","cmip6_gfdl-esm4"
"26",12085,24.1242543417832,2021,26,"tmax","cmip6_gfdl-esm4"
"27",12085,25.07495369966,2021,27,"tmax","cmip6_gfdl-esm4"
"28",12085,25.6234689635792,2021,28,"tmax","cmip6_gfdl-esm4"
"29",12085,26.3646697866506,2021,29,"tmax","cmip6_gfdl-esm4"
"30",12085,27.9414685523373,2021,30,"tmax","cmip6_gfdl-esm4"
"31",12085,24.8054535668472,2021,31,"tmax","cmip6_gfdl-esm4"
"32",12085,29.2102209825625,2021,32,"tmax","cmip6_gfdl-esm4"
"33",12085,25.8552176157634,2021,33,"tmax","cmip6_gfdl-esm4"
"34",12085,23.7593835830688,2021,34,"tmax","cmip6_gfdl-esm4"
"35",12085,22.2895504151268,2021,35,"tmax","cmip6_gfdl-esm4"
"36",12085,18.8515533370533,2021,36,"tmax","cmip6_gfdl-esm4"
"37",12085,22.6345087632366,2021,37,"tmax","cmip6_gfdl-esm4"
"38",12085,25.7139523670591,2021,38,"tmax","cmip6_gfdl-esm4"
"39",12085,25.0834129750044,2021,39,"tmax","cmip6_gfdl-esm4"
"40",12085,24.97726067839,2021,40,"tmax","cmip6_gfdl-esm4"
"41",12085,20.9043688324676,2021,41,"tmax","cmip6_gfdl-esm4"
"42",12085,23.8321257558362,2021,42,"tmax","cmip6_gfdl-esm4"
"43",12085,25.3852942422889,2021,43,"tmax","cmip6_gfdl-esm4"
"44",12085,23.1953784230112,2021,44,"tmax","cmip6_gfdl-esm4"
"45",12085,25.8808890967534,2021,45,"tmax","cmip6_gfdl-esm4"
"46",12085,27.7408720433027,2021,46,"tmax","cmip6_gfdl-esm4"
"47",12085,25.589983473153,2021,47,"tmax","cmip6_gfdl-esm4"
"48",12085,22.8055114099349,2021,48,"tmax","cmip6_gfdl-esm4"
"49",12085,21.3251096199299,2021,49,"tmax","cmip6_gfdl-esm4"
"50",12085,24.4136594695607,2021,50,"tmax","cmip6_gfdl-esm4"
"51",12085,22.6185478802385,2021,51,"tmax","cmip6_gfdl-esm4"
"52",12085,28.5233357692587,2021,52,"tmax","cmip6_gfdl-esm4"
"53",12085,26.3880809213923,2021,53,"tmax","cmip6_gfdl-esm4"
"54",12085,26.6973288667613,2021,54,"tmax","cmip6_gfdl-esm4"
"55",12085,26.8499960833582,2021,55,"tmax","cmip6_gfdl-esm4"
"56",12085,25.3145623360557,2021,56,"tmax","cmip6_gfdl-esm4"
"57",12085,22.856668540253,2021,57,"tmax","cmip6_gfdl-esm4"
"58",12085,20.9365981989893,2021,58,"tmax","cmip6_gfdl-esm4"
"59",12085,20.54651995911,2021,59,"tmax","cmip6_gfdl-esm4"
"60",12085,20.8839656939452,2021,60,"tmax","cmip6_gfdl-esm4"
"61",12085,20.8107079911506,2021,61,"tmax","cmip6_gfdl-esm4"
"62",12085,21.6916735320256,2021,62,"tmax","cmip6_gfdl-esm4"
"63",12085,20.6107633930513,2021,63,"tmax","cmip6_gfdl-esm4"
"64",12085,19.2283819790544,2021,64,"tmax","cmip6_gfdl-esm4"
"65",12085,22.5703846975305,2021,65,"tmax","cmip6_gfdl-esm4"
"66",12085,25.9526705380144,2021,66,"tmax","cmip6_gfdl-esm4"
"67",12085,25.5792417054889,2021,67,"tmax","cmip6_gfdl-esm4"
"68",12085,19.7238054461863,2021,68,"tmax","cmip6_gfdl-esm4"
"69",12085,20.9380744276376,2021,69,"tmax","cmip6_gfdl-esm4"
"70",12085,21.0756479405809,2021,70,"tmax","cmip6_gfdl-esm4"
"71",12085,20.6544717087143,2021,71,"tmax","cmip6_gfdl-esm4"
"72",12085,18.6244236935144,2021,72,"tmax","cmip6_gfdl-esm4"
"73",12085,19.0166201098212,2021,73,"tmax","cmip6_gfdl-esm4"
"74",12085,19.1674797682927,2021,74,"tmax","cmip6_gfdl-esm4"
"75",12085,17.8606955824227,2021,75,"tmax","cmip6_gfdl-esm4"
"76",12085,17.2804341732771,2021,76,"tmax","cmip6_gfdl-esm4"
"77",12085,20.3428496141543,2021,77,"tmax","cmip6_gfdl-esm4"
"78",12085,24.5872703322049,2021,78,"tmax","cmip6_gfdl-esm4"
"79",12085,27.9374338150024,2021,79,"tmax","cmip6_gfdl-esm4"
"80",12085,28.891124077501,2021,80,"tmax","cmip6_gfdl-esm4"
"81",12085,28.6980699780344,2021,81,"tmax","cmip6_gfdl-esm4"
"82",12085,29.968825216403,2021,82,"tmax","cmip6_gfdl-esm4"
"83",12085,27.5703075978948,2021,83,"tmax","cmip6_gfdl-esm4"
"84",12085,29.7582490603129,2021,84,"tmax","cmip6_gfdl-esm4"
"85",12085,27.5258725210168,2021,85,"tmax","cmip6_gfdl-esm4"
"86",12085,25.2446758336034,2021,86,"tmax","cmip6_gfdl-esm4"
"87",12085,27.0943504552732,2021,87,"tmax","cmip6_gfdl-esm4"
"88",12085,26.6594043380913,2021,88,"tmax","cmip6_gfdl-esm4"
"89",12085,23.8322024761945,2021,89,"tmax","cmip6_gfdl-esm4"
"90",12085,21.9881839171223,2021,90,"tmax","cmip6_gfdl-esm4"
"91",12085,24.5976222860402,2021,91,"tmax","cmip6_gfdl-esm4"
"92",12085,28.5025146802266,2021,92,"tmax","cmip6_gfdl-esm4"
"93",12085,29.8995427635894,2021,93,"tmax","cmip6_gfdl-esm4"
"94",12085,29.0982711923534,2021,94,"tmax","cmip6_gfdl-esm4"
"95",12085,26.7481993982162,2021,95,"tmax","cmip6_gfdl-esm4"
"96",12085,24.2642046753017,2021,96,"tmax","cmip6_gfdl-esm4"
"97",12085,30.4072639684568,2021,97,"tmax","cmip6_gfdl-esm4"
"98",12085,31.4518908358168,2021,98,"tmax","cmip6_gfdl-esm4"
"99",12085,29.2937024916726,2021,99,"tmax","cmip6_gfdl-esm4"
"100",12085,24.5957026700864,2021,100,"tmax","cmip6_gfdl-esm4"
"101",12085,29.2930457860574,2021,101,"tmax","cmip6_gfdl-esm4"
"102",12085,27.9352171766347,2021,102,"tmax","cmip6_gfdl-esm4"
