forc_st	forc_sw	forc_npp	date	crop
9.68	0.2599	0	2022-01-01	wheat
9.23	0.2599	0	2022-01-02	wheat
8.78	0.2598	0	2022-01-03	wheat
8.34	0.2598	0	2022-01-04	wheat
7.96	0.2598	0	2022-01-05	wheat
7.64	0.2598	0	2022-01-06	wheat
7.38	0.2621	0	2022-01-07	wheat
7.18	0.283	0	2022-01-08	wheat
6.99	0.3096	0	2022-01-09	wheat
6.8	0.3096	0	2022-01-10	wheat
6.62	0.3097	0	2022-01-11	wheat
6.42	0.3097	0	2022-01-12	wheat
6.22	0.3097	0	2022-01-13	wheat
6.05	0.3097	0	2022-01-14	wheat
5.88	0.3097	0	2022-01-15	wheat
5.72	0.3098	0	2022-01-16	wheat
5.56	0.3098	0	2022-01-17	wheat
5.42	0.3098	0	2022-01-18	wheat
5.29	0.3098	0	2022-01-19	wheat
5.18	0.3098	0	2022-01-20	wheat
5.08	0.3099	0	2022-01-21	wheat
4.99	0.3099	0	2022-01-22	wheat
4.89	0.3099	0	2022-01-23	wheat
4.8	0.3099	0	2022-01-24	wheat
4.7	0.3099	0	2022-01-25	wheat
4.62	0.3099	0	2022-01-26	wheat
4.53	0.31	0	2022-01-27	wheat
4.44	0.31	0	2022-01-28	wheat
4.36	0.31	0	2022-01-29	wheat
4.26	0.31	0	2022-01-30	wheat
4.17	0.31	0	2022-01-31	wheat
4.1	0.3101	0	2022-02-01	wheat
4.02	0.3125	0	2022-02-02	wheat
3.92	0.3125	0	2022-02-03	wheat
3.81	0.3126	0	2022-02-04	wheat
3.71	0.3126	0	2022-02-05	wheat
3.62	0.3126	0	2022-02-06	wheat
3.53	0.3126	0	2022-02-07	wheat
3.46	0.3126	0	2022-02-08	wheat
3.4	0.3126	0	2022-02-09	wheat
3.33	0.3127	0	2022-02-10	wheat
3.25	0.3127	0	2022-02-11	wheat
3.18	0.3127	0	2022-02-12	wheat
3.14	0.3127	0	2022-02-13	wheat
3.1	0.3127	0	2022-02-14	wheat
3.07	0.3127	0	2022-02-15	wheat
3.03	0.3127	0	2022-02-16	wheat
3	0.3128	0	2022-02-17	wheat
2.97	0.3128	0	2022-02-18	wheat
2.94	0.3444	0	2022-02-19	wheat
2.91	0.3759	0	2022-02-20	wheat
2.88	0.3758	0	2022-02-21	wheat
2.84	0.3758	0	2022-02-22	wheat
2.81	0.3758	0	2022-02-23	wheat
2.77	0.4005	0	2022-02-24	wheat
