forc_st	forc_sw	forc_npp	date	crop
14.57	0.0972	0	2022-01-01	sorghum
13.38	0.0973	0	2022-01-02	sorghum
12.6	0.0973	0	2022-01-03	sorghum
11.23	0.0973	0	2022-01-04	sorghum
10.82	0.0973	0	2022-01-05	sorghum
10.97	0.1026	0	2022-01-06	sorghum
9.89	0.1068	0	2022-01-07	sorghum
8.76	0.1105	0	2022-01-08	sorghum
8.21	0.1105	0	2022-01-09	sorghum
7.88	0.1131	0	2022-01-10	sorghum
7.46	0.1173	0	2022-01-11	sorghum
7.48	0.1239	0	2022-01-12	sorghum
7.5	0.1271	0	2022-01-13	sorghum
7.6	0.1287	0	2022-01-14	sorghum
7.78	0.1288	0	2022-01-15	sorghum
7.69	0.1278	0	2022-01-16	sorghum
7.61	0.126	0	2022-01-17	sorghum
7.32	0.1236	0	2022-01-18	sorghum
8.32	0.121	0	2022-01-19	sorghum
8.1	0.1181	0	2022-01-20	sorghum
8.21	0.1154	0	2022-01-21	sorghum
7.32	0.1144	0	2022-01-22	sorghum
6.64	0.1132	0	2022-01-23	sorghum
7.17	0.1109	0	2022-01-24	sorghum
6.75	0.1082	0	2022-01-25	sorghum
6.84	0.106	0	2022-01-26	sorghum
6.89	0.1796	0	2022-01-27	sorghum
6.9	0.1796	0	2022-01-28	sorghum
6.44	0.1793	0	2022-01-29	sorghum
5.69	0.1796	0	2022-01-30	sorghum
5.14	0.1797	0	2022-01-31	sorghum
5.42	0.1797	0	2022-02-01	sorghum
5.86	0.1795	0	2022-02-02	sorghum
6.56	0.1789	0	2022-02-03	sorghum
7.13	0.1776	0	2022-02-04	sorghum
7.62	0.1756	0	2022-02-05	sorghum
6.6	0.1728	0	2022-02-06	sorghum
6.88	0.1696	0	2022-02-07	sorghum
6.85	0.1698	0	2022-02-08	sorghum
5.87	0.17	0	2022-02-09	sorghum
4.93	0.1699	0	2022-02-10	sorghum
4.54	0.1694	0	2022-02-11	sorghum
4.46	0.1691	0	2022-02-12	sorghum
4.65	0.1796	0	2022-02-13	sorghum
4.94	0.1797	0	2022-02-14	sorghum
5.2	0.1795	0	2022-02-15	sorghum
5.34	0.1788	0	2022-02-16	sorghum
5.83	0.1776	0	2022-02-17	sorghum
6.32	0.1757	0	2022-02-18	sorghum
5.88	0.173	0	2022-02-19	sorghum
6.14	0.1698	0	2022-02-20	sorghum
7.31	0.1658	0	2022-02-21	sorghum
8.2	0.161	0	2022-02-22	sorghum
7.77	0.1561	0	2022-02-23	sorghum
6.18	0.1521	0	2022-02-24	sorghum
5.08	0.1499	0	2022-02-25	sorghum
4.59	0.1499	0	2022-02-26	sorghum
5	0.1795	0	2022-02-27	sorghum
5.64	0.1795	0	2022-02-28	sorghum
6.11	0.1792	0	2022-03-01	sorghum
6.12	0.1789	0	2022-03-02	sorghum
6.06	0.1788	0	2022-03-03	sorghum
6.73	0.1787	0	2022-03-04	sorghum
7.03	0.1796	0	2022-03-05	sorghum
7.5	0.1795	0	2022-03-06	sorghum
7.72	0.1796	0	2022-03-07	sorghum
6.94	0.1796	0	2022-03-08	sorghum
7.39	0.1797	0	2022-03-09	sorghum
8.01	0.1793	0	2022-03-10	sorghum
9.03	0.1781	0	2022-03-11	sorghum
9.91	0.1758	0	2022-03-12	sorghum
10.54	0.1724	0	2022-03-13	sorghum
8.37	0.1796	0	2022-03-14	sorghum
7.11	0.1803	0	2022-03-15	sorghum
6.46	0.222	0	2022-03-16	sorghum
7.19	0.1796	0	2022-03-17	sorghum
7.37	0.1797	0	2022-03-18	sorghum
7.72	0.1796	0	2022-03-19	sorghum
9.07	0.1788	0	2022-03-20	sorghum
10.34	0.1766	0	2022-03-21	sorghum
11.19	0.1722	0	2022-03-22	sorghum
11.07	0.1657	0	2022-03-23	sorghum
11.95	0.1576	0	2022-03-24	sorghum
12.97	0.1479	0	2022-03-25	sorghum
13.75	0.1381	0	2022-03-26	sorghum
13.12	0.1296	0	2022-03-27	sorghum
12.96	0.123	0	2022-03-28	sorghum
12.51	0.1182	0	2022-03-29	sorghum
13.02	0.1152	0	2022-03-30	sorghum
13.4	0.1132	0	2022-03-31	sorghum
11.73	0.1119	0	2022-04-01	sorghum
11.67	0.111	0	2022-04-02	sorghum
12.4	0.1101	0	2022-04-03	sorghum
12.76	0.1093	0	2022-04-04	sorghum
13.3	0.1086	0	2022-04-05	sorghum
13.59	0.1448	0	2022-04-06	sorghum
