"time","POM","LMWC","AGG","MIC","MAOM","CO2","year","date","TOC"
1,360.4044296095,0.926611889218089,1060.98731313822,2.23166996904799,3057.62496037747,0,2022,"2022-01-01",4482.17498498345
2,360.439056311112,0.958103756428804,1060.96498241276,2.22323782011027,3057.54278518533,0.0462504548026878,2022,"2022-01-02",4482.12816548574
3,360.489876419169,0.973835605476508,1060.94297667095,2.2147717705495,3057.46356858045,0.0888035480613833,2022,"2022-01-03",4482.08502904659
4,360.553636549026,0.978722715420901,1060.92140887803,2.20610526478716,3057.38553022701,0.127839636282163,2022,"2022-01-04",4482.04540363427
5,360.618497916289,0.981889602505032,1060.9003316974,2.1975630185963,3057.30783225657,0.166537405462294,2022,"2022-01-05",4482.00611449136
6,360.68466136011,0.983225101475437,1060.87973746261,2.18912684995669,3057.23048738364,0.204820499548093,2022,"2022-01-06",4481.96723815779
7,360.765206383456,0.9751040580607,1060.85968225446,2.18016258991722,3057.15271636745,0.238595552741234,2022,"2022-01-07",4481.93287165334
8,360.858172700217,0.960360418537739,1060.84027547011,2.17058647481992,3057.07333692921,0.268151306329182,2022,"2022-01-08",4481.9027319929
9,360.954983902891,0.945103581515795,1060.82156119508,2.16075742752023,3056.99196910654,0.295933520000828,2022,"2022-01-09",4481.87437521355
10,361.051245171885,0.932089326687972,1060.80353717564,2.15091202250721,3056.90871704909,0.32324208383544,2022,"2022-01-10",4481.84650074582
11,361.147877204294,0.920296499339917,1060.78618731443,2.14103353276635,3056.82388945443,0.349900172194687,2022,"2022-01-11",4481.81928400526
12,361.246617773558,0.908513973486826,1060.76951775676,2.13103950290028,3056.73750204904,0.375441675757625,2022,"2022-01-12",4481.79319105574
13,361.346464407995,0.897311314974651,1060.75352945168,2.12098732212002,3056.64962738771,0.400168297413777,2022,"2022-01-13",4481.76791988448
14,361.446668141775,0.887084841833404,1060.73822133536,2.11092253252809,3056.56034932095,0.424303993730711,2022,"2022-01-14",4481.74324617244
15,361.55036695036,0.875578354549647,1060.72359277946,2.10069419832083,3056.46973088077,0.447055255312598,2022,"2022-01-15",4481.71996316346
16,361.656399601444,0.863853478827782,1060.70966795167,2.09034359813152,3056.37754108315,0.468688331453601,2022,"2022-01-16",4481.69780571323
17,361.764659573936,0.851800514780236,1060.69644234869,2.07988595335841,3056.28390549135,0.489282606117717,2022,"2022-01-17",4481.67669388212
18,361.881338261421,0.835488081400958,1060.68395042043,2.068961330957,3056.18846888976,0.507260450141572,2022,"2022-01-18",4481.65820698396
19,362.001628552958,0.818688943793665,1060.6722340482,2.05779930558622,3056.09083183458,0.523786089844758,2022,"2022-01-19",4481.64118268512
20,362.121363855835,0.804029163484219,1060.66128516412,2.04665365315429,3055.99122336525,0.539924275598174,2022,"2022-01-20",4481.62455520184
21,362.24123701961,0.790785085832136,1060.6510927429,2.03550426494152,3055.88982279558,0.555556609795844,2022,"2022-01-21",4481.60844190887
22,362.359021575226,0.780464060309573,1060.64158395279,2.02456816232223,3055.78639944932,0.571484541390692,2022,"2022-01-22",4481.59203719997
23,362.471754527032,0.774650097312399,1060.63273188531,2.01401929469468,3055.68144700984,0.588444101587622,2022,"2022-01-23",4481.57460281419
24,362.575487219412,0.775058566426924,1060.62456461857,2.00395772294337,3055.57643652235,0.607070643389685,2022,"2022-01-24",4481.55550464969
25,362.670388518882,0.780551443501386,1060.6170146273,1.99439036802406,3055.47231380024,0.627445037410606,2022,"2022-01-25",4481.53465875794
26,362.763550857722,0.785694086253984,1060.61001400035,1.98505739578566,3055.36917039549,0.648142876321089,2022,"2022-01-26",4481.5134867356
27,362.862002717321,0.785899376917825,1060.6035661128,1.97563274362354,3055.26654851836,0.667504551158983,2022,"2022-01-27",4481.49364946903
28,362.967769149063,0.780608931304039,1060.59771394441,1.96595162395737,3055.16370327389,0.684933373271468,2022,"2022-01-28",4481.47574692263
29,363.078761020601,0.772087455299603,1060.59248684841,1.95607711056356,3055.05989478576,0.700902944581297,2022,"2022-01-29",4481.45930722064
30,363.195611604543,0.760646330553457,1060.58786820066,1.9460642481465,3054.95390994385,0.715640123471417,2022,"2022-01-30",4481.44410032775
