forc_st	forc_sw	forc_npp	date	crop
13	0.0969	0	2022-01-01	sorghum
11.54	0.0988	0	2022-01-02	sorghum
10.13	0.099	0	2022-01-03	sorghum
9.34	0.1004	0	2022-01-04	sorghum
7.84	0.1044	0	2022-01-05	sorghum
7.42	0.1036	0	2022-01-06	sorghum
7.04	0.1014	0	2022-01-07	sorghum
6.81	0.1	0	2022-01-08	sorghum
7.2	0.0993	0	2022-01-09	sorghum
7.56	0.0989	0	2022-01-10	sorghum
7.96	0.0985	0	2022-01-11	sorghum
7.12	0.0985	0	2022-01-12	sorghum
6.49	0.0986	0	2022-01-13	sorghum
6.1	0.1034	0	2022-01-14	sorghum
5.68	0.1118	0	2022-01-15	sorghum
5.47	0.1151	0	2022-01-16	sorghum
5.27	0.1176	0	2022-01-17	sorghum
5.08	0.121	0	2022-01-18	sorghum
4.56	0.1269	0	2022-01-19	sorghum
4.66	0.1331	0	2022-01-20	sorghum
4.73	0.1374	0	2022-01-21	sorghum
4.86	0.1407	0	2022-01-22	sorghum
4.77	0.1434	0	2022-01-23	sorghum
4.78	0.1458	0	2022-01-24	sorghum
5.75	0.148	0	2022-01-25	sorghum
6.95	0.1499	0	2022-01-26	sorghum
7.51	0.1517	0	2022-01-27	sorghum
7.31	0.1533	0	2022-01-28	sorghum
8.46	0.1547	0	2022-01-29	sorghum
9.07	0.156	0	2022-01-30	sorghum
9.63	0.1569	0	2022-01-31	sorghum
10.16	0.1574	0	2022-02-01	sorghum
10.38	0.1569	0	2022-02-02	sorghum
9.07	0.1553	0	2022-02-03	sorghum
8.23	0.1523	0	2022-02-04	sorghum
8.59	0.1481	0	2022-02-05	sorghum
8.77	0.1423	0	2022-02-06	sorghum
9.04	0.1352	0	2022-02-07	sorghum
9.63	0.1272	0	2022-02-08	sorghum
9.72	0.1194	0	2022-02-09	sorghum
10.72	0.1138	0	2022-02-10	sorghum
10.65	0.1104	0	2022-02-11	sorghum
8.2	0.1085	0	2022-02-12	sorghum
7.25	0.1069	0	2022-02-13	sorghum
6.4	0.1058	0	2022-02-14	sorghum
5.8	0.106	0	2022-02-15	sorghum
5.37	0.1068	0	2022-02-16	sorghum
5.06	0.1074	0	2022-02-17	sorghum
4.76	0.1079	0	2022-02-18	sorghum
4.49	0.1082	0	2022-02-19	sorghum
4.34	0.1087	0	2022-02-20	sorghum
4.38	0.1796	0	2022-02-21	sorghum
6.38	0.1796	0	2022-02-22	sorghum
7.48	0.1797	0	2022-02-23	sorghum
8.96	0.1792	0	2022-02-24	sorghum
9.9	0.1768	0	2022-02-25	sorghum
10.23	0.1717	0	2022-02-26	sorghum
9.73	0.1646	0	2022-02-27	sorghum
8.99	0.1568	0	2022-02-28	sorghum
9.54	0.1487	0	2022-03-01	sorghum
9.34	0.1407	0	2022-03-02	sorghum
10.3	0.1329	0	2022-03-03	sorghum
10.57	0.1251	0	2022-03-04	sorghum
10.72	0.1195	0	2022-03-05	sorghum
12.13	0.1159	0	2022-03-06	sorghum
12.57	0.1136	0	2022-03-07	sorghum
11.49	0.1122	0	2022-03-08	sorghum
12.07	0.1111	0	2022-03-09	sorghum
13.05	0.1102	0	2022-03-10	sorghum
13.73	0.1094	0	2022-03-11	sorghum
12.38	0.1086	0	2022-03-12	sorghum
12.75	0.1078	0	2022-03-13	sorghum
13.87	0.1071	0	2022-03-14	sorghum
14.57	0.1063	0	2022-03-15	sorghum
14.7	0.1056	0	2022-03-16	sorghum
15.35	0.1063	0	2022-03-17	sorghum
15.38	0.1163	0	2022-03-18	sorghum
14.12	0.1235	0	2022-03-19	sorghum
14.58	0.1238	0	2022-03-20	sorghum
15.83	0.1172	0	2022-03-21	sorghum
16.47	0.1115	0	2022-03-22	sorghum
15.69	0.1082	0	2022-03-23	sorghum
16.7	0.1064	0	2022-03-24	sorghum
16.92	0.1052	0	2022-03-25	sorghum
16.24	0.1044	0	2022-03-26	sorghum
16.23	0.1038	0	2022-03-27	sorghum
16.88	0.1033	0	2022-03-28	sorghum
17.74	0.1029	0	2022-03-29	sorghum
18.47	0.1025	0	2022-03-30	sorghum
19.39	0.1022	0	2022-03-31	sorghum
20.11	0.1019	0	2022-04-01	sorghum
20.66	0.1017	0	2022-04-02	sorghum
20.79	0.1015	0	2022-04-03	sorghum
20.78	0.1014	0	2022-04-04	sorghum
21.24	0.1012	0	2022-04-05	sorghum
21.81	0.1011	0	2022-04-06	sorghum
22.54	0.1043	0	2022-04-07	sorghum
23.06	0.1203	0	2022-04-08	sorghum
23.06	0.1238	0	2022-04-09	sorghum
22.92	0.1246	0	2022-04-10	sorghum
21.41	0.1172	0	2022-04-11	sorghum
19.34	0.1108	0	2022-04-12	sorghum
19.54	0.1073	0	2022-04-13	sorghum
20.54	0.1054	0	2022-04-14	sorghum
20.76	0.1042	0	2022-04-15	sorghum
19.87	0.1039	0	2022-04-16	sorghum
19.51	0.1027	0	2022-04-17	sorghum
20.27	0.1019	0	2022-04-18	sorghum
21.52	0.1013	0	2022-04-19	sorghum
22.45	0.1008	0	2022-04-20	sorghum
23.38	0.1005	0	2022-04-21	sorghum
24.06	0.1017	0	2022-04-22	sorghum
23.94	0.1008	0	2022-04-23	sorghum
23.12	0.1002	0	2022-04-24	sorghum
22.81	0.0999	0	2022-04-25	sorghum
23.53	0.0997	0	2022-04-26	sorghum
24.05	0.0995	0	2022-04-27	sorghum
24.98	0.0993	0	2022-04-28	sorghum
25.95	0.0992	0	2022-04-29	sorghum
26.5	0.0991	0	2022-04-30	sorghum
26.74	0.099	0	2022-05-01	sorghum
25.2	0.0989	0	2022-05-02	sorghum
23.91	0.0988	0	2022-05-03	sorghum
23.68	0.0988	0	2022-05-04	sorghum
23.41	0.1031	0	2022-05-05	sorghum
23.35	0.1074	0	2022-05-06	sorghum
24.1	0.1071	0	2022-05-07	sorghum
25.28	0.1037	0	2022-05-08	sorghum
25.86	0.1021	0	2022-05-09	sorghum
25.84	0.1013	0	2022-05-10	sorghum
26.37	0.1009	0	2022-05-11	sorghum
26.84	0.1006	0	2022-05-12	sorghum
26.97	0.1003	0	2022-05-13	sorghum
27.23	0.1001	0	2022-05-14	sorghum
28.02	0.0999	0	2022-05-15	sorghum
28.76	0.0998	0	2022-05-16	sorghum
28.67	0.0997	0	2022-05-17	sorghum
28.67	0.0996	0	2022-05-18	sorghum
28.48	0.0995	0	2022-05-19	sorghum
28.26	0.1029	0.116371	2022-05-20	sorghum
27.7	0.1014	0.08363	2022-05-21	sorghum
27.51	0.1002	0.086698	2022-05-22	sorghum
27.88	0.0996	0.108887	2022-05-23	sorghum
28.56	0.0992	0.121722	2022-05-24	sorghum
28.98	0.099	0.122021	2022-05-25	sorghum
29.04	0.0987	0.114874	2022-05-26	sorghum
29.04	0.0985	0.107129	2022-05-27	sorghum
29.31	0.0981	0.143125	2022-05-28	sorghum
29.64	0.0978	0.14204	2022-05-29	sorghum
29.84	0.0976	0.13725	2022-05-30	sorghum
