forc_st	forc_sw	forc_npp	date	crop
9.65	0.2598	0	2022-01-01	wheat
9.15	0.2598	0	2022-01-02	wheat
8.68	0.2598	0	2022-01-03	wheat
8.3	0.2598	0	2022-01-04	wheat
7.98	0.2598	0	2022-01-05	wheat
7.69	0.2598	0	2022-01-06	wheat
7.42	0.2598	0	2022-01-07	wheat
7.17	0.2598	0	2022-01-08	wheat
6.94	0.2598	0	2022-01-09	wheat
6.73	0.2598	0	2022-01-10	wheat
6.52	0.2598	0	2022-01-11	wheat
6.34	0.2598	0	2022-01-12	wheat
6.16	0.2597	0	2022-01-13	wheat
5.99	0.2597	0	2022-01-14	wheat
5.84	0.2597	0	2022-01-15	wheat
5.7	0.2597	0	2022-01-16	wheat
5.55	0.2597	0	2022-01-17	wheat
5.42	0.2597	0	2022-01-18	wheat
5.29	0.2597	0	2022-01-19	wheat
5.17	0.2597	0	2022-01-20	wheat
5.06	0.2597	0	2022-01-21	wheat
4.95	0.2597	0	2022-01-22	wheat
4.84	0.2597	0	2022-01-23	wheat
4.74	0.2597	0	2022-01-24	wheat
4.65	0.2597	0	2022-01-25	wheat
4.55	0.2597	0	2022-01-26	wheat
4.46	0.2596	0	2022-01-27	wheat
4.38	0.2596	0	2022-01-28	wheat
4.3	0.26	0	2022-01-29	wheat
4.22	0.26	0	2022-01-30	wheat
4.14	0.26	0	2022-01-31	wheat
4.08	0.2601	0	2022-02-01	wheat
4.01	0.2602	0	2022-02-02	wheat
3.95	0.2603	0	2022-02-03	wheat
3.88	0.2604	0	2022-02-04	wheat
3.82	0.2605	0	2022-02-05	wheat
3.76	0.2606	0	2022-02-06	wheat
3.7	0.2607	0	2022-02-07	wheat
3.64	0.2608	0	2022-02-08	wheat
3.59	0.2609	0	2022-02-09	wheat
3.54	0.261	0	2022-02-10	wheat
3.48	0.2612	0	2022-02-11	wheat
3.43	0.2613	0	2022-02-12	wheat
3.38	0.2614	0	2022-02-13	wheat
3.34	0.2615	0	2022-02-14	wheat
3.29	0.2616	0	2022-02-15	wheat
3.24	0.2617	0	2022-02-16	wheat
3.2	0.2618	0	2022-02-17	wheat
3.15	0.2619	0	2022-02-18	wheat
3.11	0.2619	0	2022-02-19	wheat
3.06	0.3368	0	2022-02-20	wheat
3.03	0.552	0	2022-02-21	wheat
2.99	0.552	0	2022-02-22	wheat
2.96	0.552	0	2022-02-23	wheat
2.92	0.552	0	2022-02-24	wheat
2.88	0.552	0	2022-02-25	wheat
2.85	0.552	0	2022-02-26	wheat
2.82	0.552	0	2022-02-27	wheat
2.8	0.552	0	2022-02-28	wheat
2.8	0.26	0	2022-03-01	wheat
2.84	0.26	0	2022-03-02	wheat
2.9	0.26	0	2022-03-03	wheat
2.96	0.26	0	2022-03-04	wheat
2.95	0.26	0	2022-03-05	wheat
2.9	0.26	0	2022-03-06	wheat
2.84	0.26	0	2022-03-07	wheat
2.78	0.26	0	2022-03-08	wheat
2.74	0.26	0	2022-03-09	wheat
2.7	0.26	0	2022-03-10	wheat
2.67	0.26	0	2022-03-11	wheat
2.65	0.2601	0	2022-03-12	wheat
2.63	0.3139	0	2022-03-13	wheat
2.6	0.3522	0	2022-03-14	wheat
2.54	0.3947	0	2022-03-15	wheat
2.51	0.5049	0	2022-03-16	wheat
2.63	0.26	0	2022-03-17	wheat
2.92	0.26	0	2022-03-18	wheat
3.1	0.26	0	2022-03-19	wheat
3.42	0.26	0	2022-03-20	wheat
4.04	0.26	0	2022-03-21	wheat
4.75	0.26	0	2022-03-22	wheat
