"time","POM","LMWC","AGG","MIC","MAOM","CO2","year","date","TOC"
1,606.84940969285,2.31023084058728,1660.97908841605,5.82107608482893,4768.93280934083,0,2022,"2022-01-01",7044.89261437515
2,605.964236034568,2.31056793841396,1661.36280523966,5.77580207270557,4769.08352026993,0.393399525775368,2022,"2022-01-02",7044.49693155527
3,605.141724094541,2.28903659311426,1661.73189761792,5.72990901555943,4769.23296755694,0.762524593160455,2022,"2022-01-03",7044.12553487807
4,604.37378943986,2.25656147408428,1662.08724509497,5.68289137381106,4769.37695716382,1.10837104725853,2022,"2022-01-04",7043.77744454655
5,603.651647215133,2.21999297529555,1662.42962681943,5.63477986531685,4769.51364011694,1.43391914305415,2022,"2022-01-05",7043.44968699211
6,602.97009870655,2.18236126148186,1662.75969500033,5.58569604909446,4769.64231033914,1.74127212028713,2022,"2022-01-06",7043.1401613566
7,602.325466277916,2.14503399776932,1663.07803938151,5.53580051723477,4769.76281213081,2.03214556652047,2022,"2022-01-07",7042.84715230524
8,601.714699615265,2.10873222040235,1663.3852045744,5.48526766614146,4769.87522916103,2.3080654285248,2022,"2022-01-08",7042.56913323723
9,601.135287498919,2.07372560027886,1663.68169389364,5.43426820769469,4769.97979695544,2.57036248504932,2022,"2022-01-09",7042.30477215597
10,600.585203298602,2.04006691548049,1663.96798022369,5.38294871910601,4770.07677335622,2.82013200827164,2022,"2022-01-10",7042.0529725131
11,600.062532733483,2.00777036458924,1664.24450665846,5.33144941765711,4770.16644642232,3.05840134255777,2022,"2022-01-11",7041.81270559651
12,599.565470742048,1.97686292710556,1664.51169077574,5.27989931758851,4770.24910071857,3.28611608333315,2022,"2022-01-12",7041.58302448105
13,599.092604782823,1.9471953627425,1664.76992490468,5.22840386671244,4770.32503140765,3.50404372351194,2022,"2022-01-13",7041.36316032461
14,598.642594399558,1.91870633768508,1665.01958326345,5.17705313123269,4770.39448397644,3.71287514685153,2022,"2022-01-14",7041.15242110837
15,598.214160159825,1.8913209067598,1665.26101825671,5.12593183113641,4770.45771961147,3.91326524079359,2022,"2022-01-15",7040.95015076591
16,597.806126298346,1.86502492296334,1665.4945439139,5.07511023431362,4770.5149564222,4.10580066171901,2022,"2022-01-16",7040.75576179173
17,597.417329536768,1.83977283091616,1665.72047871136,5.0246583221738,4770.56644495178,4.29105013269532,2022,"2022-01-17",7040.568684353
18,597.047151052072,1.8152894120133,1665.93914916691,4.97460877188962,4770.61239036914,4.46934226828539,2022,"2022-01-18",7040.38858877203
19,596.694514541589,1.7916653463538,1666.15084677738,4.92501103564993,4770.65295928867,4.64115437290763,2022,"2022-01-19",7040.21499698964
20,596.358392283493,1.76892779940823,1666.3558454083,4.87591544029648,4770.68836149033,4.80695211685606,2022,"2022-01-20",7040.04744242183
21,596.038051765023,1.74699142253719,1666.55440714489,4.82735192569179,4770.7187812978,4.96707620800813,2022,"2022-01-21",7039.88558355594
22,595.732787976823,1.72578306139373,1666.74678178339,4.77934680902356,4770.74439804739,5.12184858325966,2022,"2022-01-22",7039.72909767802
23,595.441924627577,1.70526691725502,1666.93320921092,4.73192079652877,4770.7653669655,5.2715648376815,2022,"2022-01-23",7039.57768851778
24,595.165041406713,1.68527637964552,1667.11391883089,4.68507970713219,4770.78183692931,5.41642714904259,2022,"2022-01-24",7039.43115325369
25,594.901504757657,1.6658518952186,1667.2891335108,4.63883488576744,4770.79391364948,5.55668823552553,2022,"2022-01-25",7039.28923869892
26,594.650703633286,1.6469776662077,1667.45906357917,4.59320077208833,4770.80174308393,5.69260359491038,2022,"2022-01-26",7039.15168873468
27,594.412053664203,1.62868203914837,1667.62391264147,4.54818636567538,4770.80543865363,5.82440273556294,2022,"2022-01-27",7039.01827336412
28,594.184991027661,1.61094241919483,1667.78387270271,4.50380342715203,4770.80515052122,5.9523175187601,2022,"2022-01-28",7038.88876009794
29,593.969185990866,1.59366176284204,1667.93913055966,4.46004663593572,4770.80098514854,6.07648633024888,2022,"2022-01-29",7038.76301009784
30,593.763903472397,1.5769829378676,1668.08986377963,4.4169337003646,4770.79306924085,6.19717887452306,2022,"2022-01-30",7038.6407531311
31,593.568846456345,1.56076767170001,1668.23624118632,4.37446083124494,4770.78153989376,6.3145277443457,2022,"2022-01-31",7038.52185603936
32,593.383926217411,1.54482990291283,1668.37842870083,4.33260773762847,4770.76647696457,6.42858190100462,2022,"2022-02-01",7038.40626952336
33,593.20865753968,1.52925754093989,1668.51658688151,4.29137395731802,4770.74795098865,6.5395077208752,2022,"2022-02-02",7038.2938269081
34,593.042589490001,1.51410210855082,1668.65085532756,4.2507597611809,4770.7260587047,6.64746774171935,2022,"2022-02-03",7038.18436539199
35,592.885462142897,1.49929227706988,1668.78138188368,4.21075619290413,4770.70089188445,6.75256217919008,2022,"2022-02-04",7038.077784381
36,592.73682111931,1.48488415154649,1668.90832100496,4.17136475200385,4770.6725381308,6.85494525614855,2022,"2022-02-05",7037.97392915862
37,592.596060425681,1.47101677858252,1669.03180597633,4.13259700486687,4770.64111391922,6.95482212330651,2022,"2022-02-06",7037.87259410467
38,592.463143329659,1.4574596091085,1669.15196390002,4.09443618632994,4770.6067373193,7.05223118152744,2022,"2022-02-07",7037.77374034442
39,592.338030557555,1.44408612082867,1669.2689221798,4.05685897378282,4770.56945182145,7.14719047582662,2022,"2022-02-08",7037.67734965342
40,592.22015046678,1.43109242176678,1669.38280201027,4.01987197470052,4770.52932800221,7.23987687799351,2022,"2022-02-09",7037.58324487573
41,592.109302194652,1.41840298393557,1669.49371806443,3.98346594787222,4770.48645987208,7.33036696172494,2022,"2022-02-10",7037.49134906297
42,592.005461824509,1.40588201320404,1669.60178347609,3.94761950757128,4770.44089976382,7.41867614728471,2022,"2022-02-11",7037.4016465852
43,591.908096261429,1.39373202779444,1669.70710707651,3.912337713203,4770.39270650085,7.5049620634849,2022,"2022-02-12",7037.31397957978
44,591.817026069202,1.38186771583786,1669.80979037043,3.87761245433907,4770.34198097137,7.58929477798861,2022,"2022-02-13",7037.22827758118
45,591.732077722204,1.37027005146202,1669.90993433558,3.843431123772,4770.28877304834,7.67172840240721,2022,"2022-02-14",7037.14448628135
46,591.653073608829,1.35887772437099,1670.00764350412,3.80978542217446,4770.23316095146,7.75232696957898,2022,"2022-02-15",7037.06254121096
