    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 2022.0000    1     4.94    -5.51     0.01       0.0342       0.4403      11.8912       2.8513      72.2812
 2022.0000    2     3.61    -2.30     0.13       0.0341       0.5436      11.1521       2.8380     114.3085
 2022.0000    3     5.39    -5.57     0.00       0.0339       0.4357      11.1501       2.8252      59.7814
 2022.0000    4     3.84    -5.53     0.29       0.0337       0.0000       9.6048       2.8095     282.3132
 2022.0000    5     5.20   -10.12     0.00       0.0336       0.4249       9.5957       2.7965     127.9272
 2022.0000    6     6.40    -5.85     0.00       0.0334       0.4266      10.1567       2.7838      77.5651
 2022.0000    7     5.43    -4.61     0.00       0.0333       0.4269      10.4497       2.7713      55.2570
 2022.0000    8     9.60    -5.59     0.00       0.0331       0.4254      10.5400       2.7589      51.1538
 2022.0000    9    13.68    -2.84     0.00       0.0330       0.4236      10.8583       2.7465      54.4717
 2022.0000   10    13.26    -0.47     0.00       0.0328       0.4218      11.0589       2.7341      57.4870
 2022.0000   11    11.96     2.21     0.00       0.0327       0.4200      11.2566       2.7217      61.2505
 2022.0000   12     9.73    -1.46     3.15       0.0324       0.0000      10.7552       2.6992      55.9959
 2022.0000   13     6.70    -9.56     0.41       0.0322       0.0000      10.5570       2.6871      53.8584
 2022.0000   14     5.30    -5.71     0.00       0.0320       0.0000       7.0568       2.6707     726.5229
 2022.0000   15     2.93    -8.37     0.00       0.0319       0.0000       5.1073       2.6547     828.7092
 2022.0000   16     3.58    -2.99     0.00       0.0317       0.0000       3.3370       2.6388     825.8307
 2022.0000   17     6.87    -5.99     0.00       0.0421       0.0000       1.3624       2.6231     822.1001
 2022.0000   18     4.40    -3.62     0.00       0.1899       0.0000       1.3582       2.6077     820.3939
 2022.0000   19     4.49    -6.41     0.00       0.2002       0.0842       1.3255       2.5926     767.0097
 2022.0000   20     6.95    -3.44     0.00       0.0309       0.0150       1.3498       2.5773     803.2985
 2022.0000   21     9.42    -4.35     0.00       0.0307       0.0172       1.3531       2.5623     812.9839
 2022.0000   22    10.61    -4.04     0.00       0.0306       0.0199       1.3611       2.5475     829.6625
 2022.0000   23     9.82    -4.92     0.00       0.0304       0.0231       1.3516       2.5329     814.8411
 2022.0000   24    10.36    -4.62     0.00       0.0302       0.0271       1.3547       2.5184     819.9851
 2022.0000   25    14.59     0.75     0.00       0.0300       0.0327       1.4204       2.5034     959.1773
 2022.0000   26    18.35     3.37     0.00       0.0299       0.0413       1.4759       2.4880    1134.7571
 2022.0000   27    14.78     4.55     0.00       0.0297       0.0517       1.5123       2.4726    1188.3955
 2022.0000   28    15.10    -1.20     0.00       0.0295       0.0685       1.7731       2.4578    1066.3555
 2022.0000   29    20.60     4.17     0.00       0.0293       0.1009       2.2763       2.4423    1328.0319
 2022.0000   30    20.85     3.62     0.00       0.0291       0.1621       2.7812       2.4269    1405.7741
 2022.0000   31    20.58     4.50     0.00       0.0289       0.2573       3.3587       2.4114    1502.1750
 2022.0834   32    18.16     7.12     0.00       0.0420       0.4865       3.9356       3.5032    1803.1767
 2022.0834   33    17.67     5.93     0.00       0.0419       0.5103       4.5107       3.4936    1780.6356
 2022.0834   34    12.49    -3.05     0.00       0.0378       0.4598       4.7501       3.1460    1238.9405
 2022.0834   35    12.23    -4.79     0.00       0.0375       0.4579       5.1667       3.1279    1080.3438
 2022.0834   36    17.07    -1.44     0.00       0.0373       0.4572       5.9744       3.1107    1133.0497
 2022.0834   37    17.81    -1.62     0.00       0.0371       0.4574       6.6773       3.0949     997.6199
 2022.0834   38    19.68    -1.90     0.00       0.0370       0.4584       7.4450       3.0801     776.5227
 2022.0834   39    22.27    -0.24     0.00       0.0368       0.4601       8.3776       3.0659     560.1343
 2022.0834   40    19.46    -0.50     0.00       0.0366       0.4606       8.9558       3.0519     381.3141
 2022.0834   41    23.88     3.72     0.00       0.0365       0.4621      10.0623       3.0381     294.7463
 2022.0834   42    21.15    -0.33     0.00       0.0363       0.4627      10.4676       3.0246     179.3243
 2022.0834   43     2.44    -6.66     0.00       0.0361       0.4590       9.4318       3.0109     130.5687
 2022.0834   44     6.06    -6.14     0.00       0.0360       0.4575       9.5146       2.9974     115.0304
 2022.0834   45     3.91    -5.84     0.03       0.0358       0.4551       9.3694       2.9840     112.1737
 2022.0834   46     0.70    -5.61     0.60       0.0355       0.0000       9.1107       2.9616     141.6491
 2022.0834   47     0.64    -3.94     0.76       0.0353       0.0000       8.9315       2.9396     162.8166
 2022.0834   48     1.69    -2.08     2.65       0.0350       0.0000       8.8163       2.9181     179.1480
 2022.0834   49     2.06    -5.06     0.25       0.0349       0.0000       8.6973       2.9046     189.5626
 2022.0834   50     2.80    -5.93     0.00       0.0347       0.0000       8.6089       2.8911     197.3455
 2022.0834   51     8.60    -5.97     0.00       0.0415       0.0000       5.1854       2.8746     302.9419
 2022.0834   52    13.27    -2.39     0.00       0.0343       0.0000       3.0421       2.8586     871.0792
 2022.0834   53    17.60     1.78     0.00       0.0341       0.4142       3.3082       2.8424    1178.6183
 2022.0834   54    18.97     0.48     0.00       0.0339       0.4130       3.9333       2.8271    1298.9804
 2022.0834   55    21.31     4.92     0.00       0.0338       0.4116       4.8079       2.8126    1625.5905
 2022.0834   56    20.89     4.84     0.00       0.0367       0.4492       5.6168       3.0563    1678.8591
 2022.0834   57    18.61     3.47     0.00       0.0334       0.4117       6.2578       2.7858    1403.2230
 2022.0834   58    14.16     0.47     0.01       0.0333       0.4114       6.5650       2.7735    1000.0363
 2022.0834   59    13.37    -4.66     0.00       0.0333       0.4126       6.8299       2.7615     716.1237
 2022.1666   60    16.48     0.43     0.00       0.0522       0.6510       7.6157       4.3041     593.2880
 2022.1666   61    13.76    -0.71     0.00       0.0514       0.6427       7.9429       4.2842     467.4734
 2022.1666   62    19.75     1.36     0.00       0.0512       0.6441       8.9340       4.2649     389.6170
 2022.1666   63    18.06     0.66     0.00       0.0509       0.6443       9.4823       4.2457     283.5083
 2022.1666   64    17.09     0.72     0.00       0.0507       0.6439       9.9736       4.2267     215.4681
