    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 2022.0000    1     4.11    -5.68     0.00       0.0416       0.5411      11.8226       3.4679    2171.5188
 2022.0000    2     3.13    -6.30     0.00       0.0412       0.5353      11.3404       3.4309    1722.0095
 2022.0000    3     8.56    -5.69     0.00       0.0407       0.5297      11.2787       3.3950    1669.0138
 2022.0000    4     4.51    -5.89     0.00       0.0403       0.5244      10.9656       3.3615    1508.5757
 2022.0000    5    10.35    -6.37     0.00       0.0399       0.5192      10.9779       3.3283    1513.1259
 2022.0000    6    15.06    -5.52     0.00       0.0395       0.5139      11.1527       3.2942    1610.4580
 2022.0000    7    19.56    -5.30     0.00       0.0391       0.5084      11.3373       3.2591    1734.3296
 2022.0000    8    17.64    -5.71     0.00       0.0387       0.5031      11.2426       3.2249    1691.4743
 2022.0000    9    16.74    -3.99     0.00       0.0383       0.4977      11.3002       3.1906    1730.6301
 2022.0000   10    15.11    -1.76     0.00       0.0379       0.4924      11.3780       3.1560    1787.8588
 2022.0000   11    13.61    -2.52     0.00       0.0375       0.4872      11.2628       3.1227    1719.2018
 2022.0000   12    18.72    -3.81     0.00       0.0371       0.4819      11.3801       3.0889    1794.1716
 2022.0000   13    21.91    -2.92     0.00       0.0366       0.4764      11.5830       3.0537    1950.9396
 2022.0000   14    18.85     4.92     0.00       0.0362       0.4702      12.0520       3.0138    2431.7032
 2022.0000   15    16.49    -1.38     0.00       0.0357       0.4647      11.6270       2.9788    2022.7090
 2022.0000   16    19.24     1.48     0.00       0.0353       0.4589      11.9162       2.9416    2280.1471
 2022.0000   17    17.91    -0.88     0.00       0.0349       0.4534      11.7478       2.9066    2117.5845
 2022.0000   18    26.35     2.78     0.00       0.0344       0.4469      12.3181       2.8649    2811.2033
 2022.0000   19    22.63     3.79     0.00       0.0339       0.4403      12.3834       2.8223    2968.6302
 2022.0000   20    22.88    -0.32     0.00       0.0334       0.4343      12.1866       2.7837    2651.7195
 2022.0000   21    23.06     9.13     0.00       0.0328       0.4263      12.8383       2.7326    3988.8149
 2022.0000   22    21.30     5.15     0.00       0.0322       0.4192      12.6474       2.6869    3542.1461
 2022.0000   23    15.65    -1.26     0.00       0.0318       0.4139      11.9804       2.6532    2358.3037
 2022.0000   24    21.30     1.09     0.00       0.0314       0.4082      12.2962       2.6168    2716.4868
 2022.0000   25    20.20     5.63     0.00       0.0309       0.4019      12.5798       2.5763    3240.1299
 2022.0000   26    20.54    -3.33     0.00       0.0305       0.3968      12.0726       2.5437    2422.0699
 2022.0000   27    23.07     7.94     0.00       0.0300       0.3899      12.8627       2.4990    3894.3058
 2022.0000   28    26.04     3.40     0.00       0.0295       0.3831      12.8221       2.4555    3878.4647
 2022.0000   29    23.43    12.19     0.00       0.0287       0.3736      13.3629       2.3950    6067.2474
 2022.0000   30    16.51     2.10     0.00       0.0283       0.3681      12.5208       2.3597    3161.0614
