"date","year","dayofyear","N2O_emit_gha","N2O_cum_gha","CH4_net_gha","CH4_cum_gha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989-01-01,1989,1,-0.88,-0.88,NA,NA,"LDNDC","1_1",1,1,""
1989-01-02,1989,2,-0.24,-1.12,NA,NA,"LDNDC","1_1",1,1,""
1989-01-03,1989,3,-0.15,-1.27,NA,NA,"LDNDC","1_1",1,1,""
1989-01-04,1989,4,-0.05,-1.32,NA,NA,"LDNDC","1_1",1,1,""
1989-01-05,1989,5,-0.02,-1.34,NA,NA,"LDNDC","1_1",1,1,""
1989-01-06,1989,6,-0.03,-1.37,NA,NA,"LDNDC","1_1",1,1,""
1989-01-07,1989,7,0.09,-1.28,NA,NA,"LDNDC","1_1",1,1,""
1989-01-08,1989,8,-0.05,-1.33,NA,NA,"LDNDC","1_1",1,1,""
1989-01-09,1989,9,0.02,-1.31,NA,NA,"LDNDC","1_1",1,1,""
1989-01-10,1989,10,0.09,-1.22,NA,NA,"LDNDC","1_1",1,1,""
1989-01-11,1989,11,0.05,-1.17,NA,NA,"LDNDC","1_1",1,1,""
1989-01-12,1989,12,0.11,-1.06,NA,NA,"LDNDC","1_1",1,1,""
1989-01-13,1989,13,0.16,-0.9,NA,NA,"LDNDC","1_1",1,1,""
1989-01-14,1989,14,0.22,-0.68,NA,NA,"LDNDC","1_1",1,1,""
1989-01-15,1989,15,0.22,-0.46,NA,NA,"LDNDC","1_1",1,1,""
1989-01-16,1989,16,0.2,-0.26,NA,NA,"LDNDC","1_1",1,1,""
1989-01-17,1989,17,0.28,0.02,NA,NA,"LDNDC","1_1",1,1,""
1989-01-18,1989,18,0.39,0.41,NA,NA,"LDNDC","1_1",1,1,""
1989-01-19,1989,19,0.53,0.94,NA,NA,"LDNDC","1_1",1,1,""
1989-01-20,1989,20,0.55,1.49,NA,NA,"LDNDC","1_1",1,1,""
1989-01-21,1989,21,0.54,2.03,NA,NA,"LDNDC","1_1",1,1,""
1989-01-22,1989,22,0.47,2.5,NA,NA,"LDNDC","1_1",1,1,""
1989-01-23,1989,23,0.55,3.05,NA,NA,"LDNDC","1_1",1,1,""
1989-01-24,1989,24,0.68,3.73,NA,NA,"LDNDC","1_1",1,1,""
1989-01-25,1989,25,0.65,4.38,NA,NA,"LDNDC","1_1",1,1,""
1989-01-26,1989,26,0.8,5.18,NA,NA,"LDNDC","1_1",1,1,""
1989-01-27,1989,27,0.81,5.99,NA,NA,"LDNDC","1_1",1,1,""
1989-01-28,1989,28,0.97,6.96,NA,NA,"LDNDC","1_1",1,1,""
1989-01-29,1989,29,0.99,7.95,NA,NA,"LDNDC","1_1",1,1,""
1989-01-30,1989,30,1.03,8.98,NA,NA,"LDNDC","1_1",1,1,""
1989-01-31,1989,31,1.48,10.46,NA,NA,"LDNDC","1_1",1,1,""
1989-02-01,1989,32,1.48,11.94,NA,NA,"LDNDC","1_1",1,1,""
1989-02-02,1989,33,1.2,13.14,NA,NA,"LDNDC","1_1",1,1,""
1989-02-03,1989,34,0.94,14.08,NA,NA,"LDNDC","1_1",1,1,""
1989-02-04,1989,35,0.77,14.85,NA,NA,"LDNDC","1_1",1,1,""
1989-02-05,1989,36,0.69,15.54,NA,NA,"LDNDC","1_1",1,1,""
1989-02-06,1989,37,0.58,16.12,NA,NA,"LDNDC","1_1",1,1,""
1989-02-07,1989,38,0.53,16.65,NA,NA,"LDNDC","1_1",1,1,""
1989-02-08,1989,39,0.48,17.13,NA,NA,"LDNDC","1_1",1,1,""
1989-02-09,1989,40,0.42,17.55,NA,NA,"LDNDC","1_1",1,1,""
1989-02-10,1989,41,0.43,17.98,NA,NA,"LDNDC","1_1",1,1,""
1989-02-11,1989,42,0.41,18.39,NA,NA,"LDNDC","1_1",1,1,""
1989-02-12,1989,43,0.38,18.77,NA,NA,"LDNDC","1_1",1,1,""
1989-02-13,1989,44,0.35,19.12,NA,NA,"LDNDC","1_1",1,1,""
1989-02-14,1989,45,0.33,19.45,NA,NA,"LDNDC","1_1",1,1,""
1989-02-15,1989,46,0.31,19.76,NA,NA,"LDNDC","1_1",1,1,""
1989-02-16,1989,47,0.35,20.11,NA,NA,"LDNDC","1_1",1,1,""
1989-02-17,1989,48,0.34,20.45,NA,NA,"LDNDC","1_1",1,1,""
1989-02-18,1989,49,0.33,20.78,NA,NA,"LDNDC","1_1",1,1,""
1989-02-19,1989,50,0.3,21.08,NA,NA,"LDNDC","1_1",1,1,""
1989-02-20,1989,51,0.3,21.38,NA,NA,"LDNDC","1_1",1,1,""
1989-02-21,1989,52,0.3,21.68,NA,NA,"LDNDC","1_1",1,1,""
1989-02-22,1989,53,0.29,21.97,NA,NA,"LDNDC","1_1",1,1,""
1989-02-23,1989,54,0.28,22.25,NA,NA,"LDNDC","1_1",1,1,""
