    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1989.0000    1    -0.10    -7.70     0.00       0.2988       0.0000       8.1915      18.2524     985.2319
 1989.0000    2    -0.20    -8.50     0.00       0.2284       0.0000       8.0943      13.5352     872.1615
 1989.0000    3    -2.00    -9.30     0.13       0.1884       0.0000       8.0175      10.6422     800.7450
 1989.0000    4    -2.30   -17.90     0.00       0.1594       0.0000       7.9192       8.6046     741.5827
 1989.0000    5     0.60   -10.80     0.00       0.1577       0.0000       7.9232       8.6366     713.1928
 1989.0000    6    -0.80    -2.80     0.03       0.1568       0.0000       7.9331       8.6671     696.2278
 1989.0000    7    10.90    -2.00     1.70       0.1652       0.0000       7.9773       8.7064     691.2787
 1989.0000    8     4.30   -11.30     0.00       0.1556       0.0000       7.9105       8.7343     669.5089
 1989.0000    9    -5.80   -12.30     0.00       0.1540       0.0000       7.8458       8.7600     644.9413
 1989.0000   10     0.80    -7.60     0.00       0.1536       0.0000       7.8735       8.7849     635.8805
 1989.0000   11     1.90    -7.60     0.00       0.1533       0.0000       7.8732       8.8090     626.9407
 1989.0000   12     4.40    -5.60     0.03       0.1533       0.0000       7.1329       8.8327     623.9864
 1989.0000   13    -1.10    -7.50     0.00       0.1527       0.0000       7.1073       8.8553     612.3846
 1989.0000   14    -4.00    -8.40     0.03       0.1521       0.0000       7.0898       8.8769     600.6212
 1989.0000   15     0.70    -4.10     0.05       0.1522       0.0000       7.1261       8.8982     597.6447
 1989.0000   16     2.10    -4.90     0.00       0.1522       0.0000       6.7606       8.9191     594.1039
 1989.0000   17     3.10    -0.60     0.00       0.1525       0.0000       6.4714       8.9400     593.4858
 1989.0000   18     5.20    -1.30     0.00       0.1529       0.0000       5.8617       8.9610     592.3501
 1989.0000   19     7.80    -2.20     0.11       0.1535       0.0000       5.5637       8.9823     591.5870
 1989.0000   20    -0.30   -11.70     0.00       0.1530       0.0000       5.5067       9.0027     576.1842
 1989.0000   21    -1.40   -13.90     0.00       0.1523       0.0000       5.4878       9.0220     564.0407
 1989.0000   22     6.70    -4.30     0.00       0.1732       0.0000       3.9392       9.0416     567.9101
 1989.0000   23    10.30    -1.60     0.00       0.2668       0.0000       1.9809       9.0616     572.6101
 1989.0000   24     6.90    -1.30     0.00       0.1535       1.8605       5.5280       9.0813     575.4778
 1989.0000   25     3.50    -1.70     0.73       0.1636       0.0000       5.4939       9.1120     569.6975
 1989.0000   26     6.90    -2.70     0.00       0.1557       0.0000       5.4924       9.1332     568.0007
 1989.0000   27     4.40    -4.10     0.00       0.1551       1.8797       5.4290       9.1535     554.9267
 1989.0000   28     8.90    -1.50     0.20       0.1566       2.3761       5.5157       9.1751     566.5343
 1989.0000   29     3.70     1.00     0.56       0.1658       2.0087       5.5948       9.2066     573.9605
 1989.0000   30     2.10    -1.70     0.03       0.1575       1.9087       5.5441       9.2283     562.9220
 1989.0000   31    14.50    -0.20     0.00       0.1600       1.9393       6.0095       9.2525     591.1462
 1989.0834   32     9.40    -6.30     0.00       0.1700       2.0599       6.0663       9.8830     624.0897
 1989.0834   33    -6.10    -8.40     0.00       0.1635       1.9820       5.8812       9.9001     573.0036
 1989.0834   34    -5.00   -12.30     0.00       0.1605       1.9455       5.7980       9.9135     532.6452
 1989.0834   35    -8.90   -13.10     0.03       0.1613       0.0000       5.9472       9.9276     538.3997
 1989.0834   36    -6.90   -14.90     0.28       0.1614       0.0000       5.9443       9.9416     537.1922
 1989.0834   37    -9.30   -16.20     0.00       0.1612       0.0000       5.9146       9.9551     531.6082
 1989.0834   38    -8.10   -15.20     0.00       0.1612       0.0000       5.9084       9.9683     528.2725
 1989.0834   39    -7.00   -13.70     0.05       0.1612       0.0000       5.9082       9.9814     526.4932
 1989.0834   40   -10.20   -17.60     0.00       0.1608       0.0000       5.8628       9.9939     519.1012
 1989.0834   41    -4.90   -11.70     0.05       0.1612       0.0000       5.8997      10.0065     521.2342
 1989.0834   42    -0.80    -7.70     0.00       0.1618       0.0000       5.9355      10.0196     526.3309
 1989.0834   43     2.10    -7.90     0.00       0.1624       0.0000       5.4646      10.0332     530.5287
