    time   dayofyr      aglivc     bglivcj     bglivcm      rleavc     frootcj     frootcm      fbrchc      rlwodc      crootc      frnutc
2022.00   1      1.7572      1.5442      0.0827      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00   2      1.7572      1.5438      0.0828      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00   3      1.7572      1.5435      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00   4      1.7572      1.5432      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00   5      1.7572      1.5428      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00   6      1.7572      1.5425      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00   7      1.7572      1.5422      0.0830      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00   8      1.7572      1.5419      0.0830      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00   9      1.7572      1.5416      0.0830      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  10      1.7572      1.5413      0.0830      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  11      1.7572      1.5410      0.0830      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  12      1.7572      1.5407      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  13      1.7572      1.5403      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  14      1.7572      1.5400      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  15      1.7572      1.5397      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  16      1.7572      1.5394      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  17      1.7572      1.5391      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  18      1.7572      1.5387      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  19      1.7572      1.5384      0.0828      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  20      1.7572      1.5381      0.0828      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  21      1.7572      1.5377      0.0828      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  22      1.7572      1.5374      0.0828      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  23      1.7572      1.5371      0.0828      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  24      1.7572      1.5368      0.0828      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  25      1.7572      1.5364      0.0827      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  26      1.7572      1.5361      0.0827      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  27      1.7572      1.5358      0.0827      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  28      1.7572      1.5354      0.0827      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  29      1.7572      1.5351      0.0827      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  30      1.7572      1.5347      0.0826      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.00  31      1.7572      1.5344      0.0826      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  32      1.7572      1.5340      0.0826      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  33      1.7572      1.5336      0.0826      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  34      1.7572      1.5333      0.0826      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  35      1.7572      1.5329      0.0825      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  36      1.7572      1.5325      0.0825      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  37      1.7572      1.5321      0.0825      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  38      1.7572      1.5317      0.0825      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  39      1.7572      1.5314      0.0825      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  40      1.7572      1.5310      0.0824      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  41      1.7572      1.5306      0.0824      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  42      1.7572      1.5302      0.0824      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  43      1.7572      1.5298      0.0824      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  44      1.7572      1.5295      0.0824      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  45      1.7572      1.5291      0.0823      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  46      1.7572      1.5287      0.0823      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  47      1.7572      1.5283      0.0823      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  48      1.7572      1.5279      0.0823      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  49      1.7572      1.5276      0.0823      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  50      1.7572      1.5272      0.0822      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  51      1.7572      1.5268      0.0822      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  52      1.7572      1.5264      0.0822      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  53      1.7572      1.5260      0.0822      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  54      1.7572      1.5257      0.0822      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  55      1.7572      1.5253      0.0821      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  56      1.7572      1.5249      0.0821      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  57      1.7572      1.5245      0.0821      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  58      1.7572      1.5241      0.0821      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.08  59      1.7572      1.5238      0.0821      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  60      1.7572      1.5234      0.0820      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  61      1.7572      1.5231      0.0820      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  62      1.7572      1.5227      0.0820      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  63      1.7572      1.5224      0.0820      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  64      1.7572      1.5221      0.0820      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  65      1.7572      1.5218      0.0820      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  66      1.7572      1.5214      0.0820      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  67      1.7572      1.5211      0.0821      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  68      1.7572      1.5207      0.0822      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  69      1.7572      1.5203      0.0823      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  70      1.7572      1.5199      0.0824      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  71      1.7572      1.5195      0.0826      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  72      1.7572      1.5190      0.0828      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  73      1.7572      1.5187      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  74      1.7572      1.5184      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  75      1.7572      1.5181      0.0830      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  76      1.7572      1.5178      0.0829      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  77      1.7572      1.5174      0.0830      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  78      1.7572      1.5171      0.0830      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  79      1.7572      1.5168      0.0830      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  80      1.7572      1.5165      0.0831      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  81      1.7572      1.5161      0.0832      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  82      1.7572      1.5155      0.0835      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  83      1.7572      1.5149      0.0839      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  84      1.7572      1.5142      0.0843      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  85      1.7572      1.5135      0.0848      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  86      1.7572      1.5127      0.0853      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  87      1.7572      1.5121      0.0856      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  88      1.7572      1.5117      0.0858      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  89      1.7572      1.5113      0.0859      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.17  90      1.7572      1.5110      0.0860      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.25  91      1.7572      1.5106      0.0861      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.25  92      1.7572      1.5102      0.0862      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.25  93      1.7572      1.5098      0.0863      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.25  94      1.7572      1.5094      0.0864      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
2022.25  95      1.7572      1.5090      0.0866      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
