%global
        time = "2021-01-01/1"

%climate
        id = 2

%attributes
        elevation = "990"
        latitude = "33.684"
        longitude = "-101.768"
        wind speed = "4.3"
        annual precipitation = "610.3"
        temperature average = "19.2"
        temperature amplitude = "65.7133404960785"


%data
*	 *	 prec	 tavg	 tmax	 tmin	 grad	 wind
2021	1	0	8.9372	13.3399272866047	-0.727313209473773	96.2487	6.2664
2021	2	0.985	8.2268	10.9740272866047	0.217786790526227	41.6293	5.8794
2021	3	31.259	3.44005	3.25842728660469	-1.64011320947377	20.6745	2.6399
2021	4	9.995	3.52525	3.86102728660469	-2.07231320947377	124.7882	2.4592
2021	5	0	6.19475	8.59772728660469	-1.47001320947377	135.1892	4.9723
2021	6	0	5.51305	9.32122728660469	-3.55691320947377	125.0192	2.4464
2021	7	0	7.5382	10.8606272866047	-1.04601320947377	131.5898	2.501
2021	8	0	8.64915	12.7114272866047	-0.674913209473773	136.1288	2.2671
2021	9	0.139	10.4877	11.9702272866047	3.74338679052623	102.8806	4.1912
2021	10	0	8.23635	13.9684272866047	-2.75751320947377	156.1703	3.6565
2021	11	0	13.3637	19.8017272866047	1.66388679052623	140.5753	3.7527
2021	12	0	16.1255	22.6113272866047	4.37788679052623	146.6714	4.1077
2021	13	0	16.24185	22.1971272866047	5.02478679052623	140.9856	3.4126
2021	14	0.348	14.9709	18.0410272866047	6.63898679052623	78.0823	2.3718
2021	15	0.761	13.5214	15.5817272866047	6.19928679052623	69.1533	2.4813
2021	16	0	16.772	19.8326272866047	8.44958679052623	139.4484	4.9891
2021	17	0.142	16.0245	20.7552272866047	6.03198679052623	147.3628	3.6077
2021	18	0.166	16.14245	21.0909272866047	5.93218679052623	106.9196	3.1048
2021	19	0.17	14.74755	18.5384272866047	5.69488679052623	149.4263	3.0516
2021	20	2.195	11.08845	17.2413272866047	-0.326213209473773	30.2657	4.9769
2021	21	2.041	7.3384	11.5341272866047	-2.11911320947377	92.7863	5.0898
