%global
        time = "2021-01-01/1"

%climate
        id = 2

%attributes
        elevation = "990"
        latitude = "33.684"
        longitude = "-101.768"
        wind speed = "4.5"
        annual precipitation = "539.8"
        temperature average = "19.5"
        temperature amplitude = "68.0699659435424"


%data
*	 *	 prec	 tavg	 tmax	 tmin	 grad	 wind
2021	1	0	11.3157	18.0569118354315	1.51014589188911	130.3648	5.6428
2021	2	0	9.526	15.5221118354315	0.465545891889106	142.1385	4.2096
2021	3	0	8.9621	13.1884118354315	1.67144589188911	73.1622	4.5995
2021	4	0	5.36855	11.6197118354315	-3.94695410811089	141.8595	3.7082
2021	5	0	9.50055	18.8900118354315	-2.95325410811089	144.75	3.5804
2021	6	4.304	10.7714	15.3471118354315	3.13134589188911	57.5952	2.6284
2021	7	1.972	4.9283	9.63371183543146	-2.84145410811089	142.2541	5.9266
2021	8	0	2.9245	9.23021183543146	-6.44555410811089	153.4564	2.6148
2021	9	0	4.2665	10.8906118354315	-5.42195410811089	153.8136	2.902
2021	10	6.365	4.92375	8.42511183543146	-1.64195410811089	23.2357	3.9671
2021	11	3.504	2.9017	4.87191183543146	-2.13285410811089	104.8355	2.4904
2021	12	0	6.99565	14.3858118354315	-3.45885410811089	155.2654	4.0631
2021	13	0	6.33755	10.6085118354315	-0.997754108110894	91.7314	3.9927
2021	14	0	8.2292	14.9204118354315	-1.52635410811089	155.2233	2.8343
2021	15	0	8.87485	14.6862118354315	-0.000854108110894147	148.7294	4.6954
2021	16	0	7.1616	11.0792118354315	0.179645891889106	109.2399	2.506
2021	17	0	7.70765	13.2529118354315	-0.901954108110894	154.8835	2.9366
2021	18	0	6.2655	11.3522118354315	-1.88555410811089	107.9385	3.2504
2021	19	0	13.0176	18.2661118354315	4.70474589188911	156.8041	4.8714
2021	20	0	9.3616	15.8129118354315	-0.154054108110894	101.8008	2.9168
2021	21	0.178	9.22565	12.6024118354315	2.78454589188911	165.2411	4.0742
2021	22	1.233	5.0269	11.7576118354315	-4.76815410811089	68.161	2.461
2021	23	0	3.87745	10.7741118354315	-6.08355410811089	172.5169	3.1132
2021	24	0.128	10.0712	18.9113118354315	-1.83325410811089	170.5973	5.8766
2021	25	0	6.48955	15.0316118354315	-5.11685410811089	126.012	3.2443
2021	26	0.125	6.9457	11.4450118354315	-0.617954108110894	113.3807	3.5268
2021	27	23.169	6.4212	8.46031183543146	1.31774589188911	28.212	4.0617
2021	28	0.101	7.2839	11.9281118354315	-0.424654108110894	160.5589	2.8348
2021	29	0.356	4.93975	10.3140118354315	-3.49885410811089	123.8434	3.4188
2021	30	3.58	-1.5627	2.98761183543146	-9.17735410811089	58.7563	5.021
2021	31	0.187	-3.11305	-0.0497881645685385	-9.2406541081109	130.638	2.7857
2021	32	0	5.99415	13.4738118354315	-4.54985410811089	183.749	5.1691
2021	33	0	7.33745	12.1857118354315	-0.575154108110894	183.0941	3.8426
2021	34	0	10.9476	19.4765118354315	-0.645654108110894	187.8575	4.1529
2021	35	0	12.0638	21.1332118354315	-0.0699541081108943	169.3481	5.311
2021	36	0.121	11.6443	16.9975118354315	3.22674589188911	161.859	5.4674
2021	37	0	4.24855	10.3080118354315	-4.87525410811089	188.565	4.011
2021	38	0	8.60085	15.4563118354315	-1.31895410811089	185.6196	5.0251
2021	39	4.152	7.63415	13.0992118354315	-0.895254108110894	37.1511	5.609
2021	40	0	0.8534	1.73301183543146	-3.09055410811089	108.9633	6.8057
2021	41	0	-0.5776	3.51131183543146	-7.73085410811089	177.1361	2.6676
2021	42	0	0.7352	5.38781183543146	-6.98175410811089	184.3747	2.2168
2021	43	2.308	1.79205	4.74391183543146	-4.22415410811089	79.8344	1.9576
2021	44	13.399	3.2629	4.34901183543146	-0.887554108110894	61.8282	2.1038
2021	45	0	5.7121	12.0601118354315	-3.70025410811089	192.614	3.0003
2021	46	0	5.9534	10.5020118354315	-1.65955410811089	197.493	4.3476
2021	47	0	6.37655	13.8148118354315	-4.12605410811089	200.8208	2.8697
2021	48	0	8.16145	13.4850118354315	-0.226454108110894	184.9788	5.0529
2021	49	0	9.3971	15.9449118354315	-0.215054108110894	202.9627	6.1082
2021	50	0	5.3872	13.4176118354315	-5.70755410811089	204.6897	4.6431
2021	51	0	7.5975	14.3267118354315	-2.19605410811089	211.9365	4.9205
2021	52	0	13.3736	21.2544118354315	2.42844589188911	206.9996	4.539
2021	53	0	14.186	19.3892118354315	5.91844589188911	208.1431	6.8282
2021	54	0.657	8.88555	18.5898118354315	-3.88305410811089	102.2144	5.473
2021	55	10.571	-3.41165	1.30261183543146	-11.1902541081109	109.0445	7.5078
2021	56	0.572	-9.29205	-6.30228816456854	-15.3461541081109	126.7205	4.1375
2021	57	0	-3.40965	2.72731183543146	-12.6109541081109	239.0984	3.6964
2021	58	0	4.7329	11.7048118354315	-5.30335410811089	239.1845	4.3918
2021	59	0	7.5038	15.5662118354315	-3.62295410811089	233.2714	3.3299
2021	60	0.179	8.0735	14.5586118354315	-1.47595410811089	117.7408	4.6405
2021	61	0.881	6.27165	6.82921183543146	2.64974589188911	49.5364	3.3266
2021	62	1.81	5.6509	7.25741183543146	0.980045891889106	104.7827	4.896
2021	63	0	9.40715	11.6358118354315	4.11414589188911	136.3578	5.5265
2021	64	1.846	8.9368	11.5193118354315	3.28994589188911	97.4769	4.4748
2021	65	0.288	10.2179	15.8024118354315	1.56904589188911	194.9246	3.8494
2021	66	13.049	9.6433	14.2004118354315	2.02184589188911	43.8169	5.483
2021	67	9.693	4.42355	5.80241183543146	-0.0196541081108943	122.5477	5.0109
2021	68	0	8.70975	15.3485118354315	-0.993354108110894	228.9949	3.5531
2021	69	0	10.83415	16.3463118354315	2.25764589188911	228.527	3.9402
2021	70	0	14.25115	19.3267118354315	6.11124589188911	200.0119	6.0815
2021	71	0	15.7091	17.9295118354315	10.4243458918891	144.0038	5.4656
2021	72	0.122	15.5567	21.0848118354315	6.96424589188911	223.8149	4.6518
2021	73	52.215	7.55685	18.9239118354315	-6.87455410811089	73.7609	9.6115
2021	74	0	1.1984	8.26251183543146	-8.93005410811089	241.6014	3.3084
2021	75	0	4.318	7.30681183543146	-1.73515410811089	168.8702	3.7498
2021	76	2.133	8.5824	11.3909118354315	2.70954589188911	208.0331	3.4261
2021	77	0.375	7.24045	11.7190118354315	-0.302454108110894	153.2848	2.9724
2021	78	0	8.34545	13.2917118354315	0.334845891889106	239.0119	3.4202
2021	79	0	14.02975	21.1269118354315	3.86824589188911	269.1084	5.7806
2021	80	0	16.64895	24.1212118354315	6.11234589188911	272.4724	4.9359
2021	81	0	16.7528	22.9960118354315	7.44524589188911	276.1626	5.3746
2021	82	0	12.39465	20.5148118354315	1.21014589188911	273.9033	3.1893
2021	83	0	16.6612	25.2093118354315	5.04874589188911	270.9615	4.95
2021	84	0	19.4133	27.3565118354315	8.40574589188911	257.183	6.4543
2021	85	0	19.98385	26.2702118354315	10.6331458918891	288.1827	6.9877
2021	86	0	12.9352	21.0728118354315	1.73324589188911	283.0369	3.7506
2021	87	0	13.2821	19.6772118354315	3.82264589188911	141.8949	4.9831
2021	88	0	10.663	20.4979118354315	-2.23625410811089	286.3893	3.162
2021	89	0	14.78005	23.4465118354315	3.04924589188911	298.399	5.3745
2021	90	0	15.4003	23.8902118354315	3.84604589188911	265.3935	6.9867
2021	91	0	5.7101	11.3576118354315	-3.00175410811089	295.998	6.6533
2021	92	0	9.06625	18.0975118354315	-3.02935410811089	298.6804	3.3733
2021	93	0	13.5589	23.7724118354315	0.281045891889106	302.9977	4.0616
2021	94	0	13.5745	23.6829118354315	0.401745891889106	300.728	3.4624
2021	95	0	15.72565	21.8087118354315	6.57824589188911	257.2018	4.4806
2021	96	12.297	15.81835	19.3179118354315	9.25444589188911	49.4348	4.9784
2021	97	36.438	13.2367	14.2710118354315	9.13804589188911	87.4192	6.3361
2021	98	0.275	16.9336	21.7404118354315	9.06244589188911	269.4964	3.6537
2021	99	0	17.56345	21.4119118354315	10.6506458918891	262.5408	4.5251
2021	100	2.408	18.6235	19.8477118354315	14.3349458918891	60.7971	5.0902
2021	101	0	21.65365	25.9207118354315	14.3222458918891	303.8578	5.0103
2021	102	0	18.87225	24.2051118354315	10.4750458918891	306.6224	4.3155
2021	103	0	15.92655	22.5234118354315	6.26534589188911	258.2525	4.3578
