"","GEOID","value","year","doy","variable","model"
"1",31019,5.32793617512606,1951,1,"tmax","nclim"
"2",31019,-0.652156446612428,1951,2,"tmax","nclim"
"3",31019,-0.0815873803243725,1951,3,"tmax","nclim"
"4",31019,0.304713607898359,1951,4,"tmax","nclim"
"5",31019,-2.88423500907949,1951,5,"tmax","nclim"
"6",31019,-3.52064952188278,1951,6,"tmax","nclim"
"7",31019,1.42016432167376,1951,7,"tmax","nclim"
"8",31019,6.92098088807698,1951,8,"tmax","nclim"
"9",31019,5.46141367094426,1951,9,"tmax","nclim"
"10",31019,4.48109449889464,1951,10,"tmax","nclim"
"11",31019,3.6788631351311,1951,11,"tmax","nclim"
"12",31019,4.17518743297345,1951,12,"tmax","nclim"
"13",31019,3.57511364498848,1951,13,"tmax","nclim"
"14",31019,7.53317986919156,1951,14,"tmax","nclim"
"15",31019,7.82252722563623,1951,15,"tmax","nclim"
"16",31019,12.4297496551954,1951,16,"tmax","nclim"
"17",31019,11.8316104725192,1951,17,"tmax","nclim"
"18",31019,14.5180244355262,1951,18,"tmax","nclim"
"19",31019,10.8837936977042,1951,19,"tmax","nclim"
"20",31019,-5.90516083791286,1951,20,"tmax","nclim"
"21",31019,-1.80687793429139,1951,21,"tmax","nclim"
"22",31019,5.45847742146329,1951,22,"tmax","nclim"
"23",31019,4.07784252047916,1951,23,"tmax","nclim"
"24",31019,1.61933397775209,1951,24,"tmax","nclim"
"25",31019,4.4774701786758,1951,25,"tmax","nclim"
"26",31019,7.36999791483336,1951,26,"tmax","nclim"
"27",31019,0.386933428034941,1951,27,"tmax","nclim"
"28",31019,-17.6022285245642,1951,28,"tmax","nclim"
"29",31019,-16.5392411151264,1951,29,"tmax","nclim"
"30",31019,-11.9231847358655,1951,30,"tmax","nclim"
"31",31019,-12.6893594759175,1951,31,"tmax","nclim"
"32",31019,-12.0541648370556,1951,32,"tmax","nclim"
"33",31019,-3.01724035104242,1951,33,"tmax","nclim"
"34",31019,7.12855435719219,1951,34,"tmax","nclim"
"35",31019,7.51370110485373,1951,35,"tmax","nclim"
"36",31019,5.10574109437345,1951,36,"tmax","nclim"
"37",31019,1.46516870886465,1951,37,"tmax","nclim"
"38",31019,-6.84908148420008,1951,38,"tmax","nclim"
"39",31019,-0.915632200029478,1951,39,"tmax","nclim"
"40",31019,3.54612813258096,1951,40,"tmax","nclim"
"41",31019,19.1844212412834,1951,41,"tmax","nclim"
"42",31019,21.0997554327868,1951,42,"tmax","nclim"
"43",31019,11.0889919211593,1951,43,"tmax","nclim"
"44",31019,-7.23382914405835,1951,44,"tmax","nclim"
"45",31019,-3.74616417071865,1951,45,"tmax","nclim"
"46",31019,-1.7199996085248,1951,46,"tmax","nclim"
"47",31019,4.7888316682811,1951,47,"tmax","nclim"
"48",31019,10.490132710979,1951,48,"tmax","nclim"
"49",31019,11.4915244322789,1951,49,"tmax","nclim"
"50",31019,8.39433292723909,1951,50,"tmax","nclim"
"51",31019,8.74864552330367,1951,51,"tmax","nclim"
"52",31019,12.1887406921839,1951,52,"tmax","nclim"
"53",31019,10.2683344215532,1951,53,"tmax","nclim"
"54",31019,13.7881730176226,1951,54,"tmax","nclim"
"55",31019,13.447648734986,1951,55,"tmax","nclim"
"56",31019,10.2967467689061,1951,56,"tmax","nclim"
"57",31019,11.4203460631491,1951,57,"tmax","nclim"
"58",31019,11.9068886166132,1951,58,"tmax","nclim"
"59",31019,9.36457988544355,1951,59,"tmax","nclim"
"60",31019,4.60493240760097,1951,60,"tmax","nclim"
"61",31019,3.52141424155311,1951,61,"tmax","nclim"
"62",31019,0.825855462413275,1951,62,"tmax","nclim"
"63",31019,4.71347372403628,1951,63,"tmax","nclim"
"64",31019,15.4244121928004,1951,64,"tmax","nclim"
"65",31019,14.9499284281761,1951,65,"tmax","nclim"
"66",31019,4.55751107699132,1951,66,"tmax","nclim"
"67",31019,2.17102159347527,1951,67,"tmax","nclim"
"68",31019,-4.12327840481001,1951,68,"tmax","nclim"
"69",31019,-2.19543026411269,1951,69,"tmax","nclim"
"70",31019,-6.65955256604696,1951,70,"tmax","nclim"
"71",31019,-4.91260679528306,1951,71,"tmax","nclim"
"72",31019,-2.3017943010583,1951,72,"tmax","nclim"
"73",31019,0.828231568536662,1951,73,"tmax","nclim"
"74",31019,4.1700163427033,1951,74,"tmax","nclim"
"75",31019,8.30376197586331,1951,75,"tmax","nclim"
"76",31019,5.61615440947346,1951,76,"tmax","nclim"
"77",31019,-2.56055609018931,1951,77,"tmax","nclim"
"78",31019,-0.546461593822423,1951,78,"tmax","nclim"
"79",31019,-1.09217116199552,1951,79,"tmax","nclim"
"80",31019,8.52241204471528,1951,80,"tmax","nclim"
"81",31019,20.6763745372808,1951,81,"tmax","nclim"
"82",31019,16.515032056389,1951,82,"tmax","nclim"
"83",31019,11.7240596375888,1951,83,"tmax","nclim"
"84",31019,15.5575437127035,1951,84,"tmax","nclim"
"85",31019,23.2679063292998,1951,85,"tmax","nclim"
"86",31019,19.9688541164881,1951,86,"tmax","nclim"
"87",31019,8.13004001522366,1951,87,"tmax","nclim"
"88",31019,5.78249119429649,1951,88,"tmax","nclim"
"89",31019,6.82944114449658,1951,89,"tmax","nclim"
"90",31019,9.61135065102879,1951,90,"tmax","nclim"
"91",31019,7.23745590580415,1951,91,"tmax","nclim"
"92",31019,8.97343417285364,1951,92,"tmax","nclim"
"93",31019,15.0897604419461,1951,93,"tmax","nclim"
"94",31019,15.9280039811436,1951,94,"tmax","nclim"
"95",31019,12.9799849821042,1951,95,"tmax","nclim"
"96",31019,11.200545978697,1951,96,"tmax","nclim"
"97",31019,9.91540807334683,1951,97,"tmax","nclim"
"98",31019,7.25733546950395,1951,98,"tmax","nclim"
"99",31019,13.2685947007016,1951,99,"tmax","nclim"
"100",31019,11.1831253450128,1951,100,"tmax","nclim"
"101",31019,4.13681289204691,1951,101,"tmax","nclim"
"102",31019,6.59727942585191,1951,102,"tmax","nclim"
"103",31019,16.5581513922426,1951,103,"tmax","nclim"
"104",31019,15.1763651125793,1951,104,"tmax","nclim"
"105",31019,8.69001714074159,1951,105,"tmax","nclim"
"106",31019,10.0490242620058,1951,106,"tmax","nclim"
