"","GEOID","value","year","doy","variable","model"
"1",20137,0,1951,1,"prcp","nclim"
"2",20137,0.972860042711622,1951,2,"prcp","nclim"
"3",20137,0,1951,3,"prcp","nclim"
"4",20137,0,1951,4,"prcp","nclim"
"5",20137,0,1951,5,"prcp","nclim"
"6",20137,0,1951,6,"prcp","nclim"
"7",20137,0,1951,7,"prcp","nclim"
"8",20137,0,1951,8,"prcp","nclim"
"9",20137,0,1951,9,"prcp","nclim"
"10",20137,0,1951,10,"prcp","nclim"
"11",20137,0,1951,11,"prcp","nclim"
"12",20137,0.000262105262331795,1951,12,"prcp","nclim"
"13",20137,0,1951,13,"prcp","nclim"
"14",20137,0,1951,14,"prcp","nclim"
"15",20137,0,1951,15,"prcp","nclim"
"16",20137,0,1951,16,"prcp","nclim"
"17",20137,0,1951,17,"prcp","nclim"
"18",20137,0,1951,18,"prcp","nclim"
"19",20137,0,1951,19,"prcp","nclim"
"20",20137,0.000326184204599836,1951,20,"prcp","nclim"
"21",20137,0,1951,21,"prcp","nclim"
"22",20137,0,1951,22,"prcp","nclim"
"23",20137,0,1951,23,"prcp","nclim"
"24",20137,0,1951,24,"prcp","nclim"
"25",20137,0,1951,25,"prcp","nclim"
"26",20137,0,1951,26,"prcp","nclim"
"27",20137,0,1951,27,"prcp","nclim"
"28",20137,0,1951,28,"prcp","nclim"
"29",20137,0.10669320235519,1951,29,"prcp","nclim"
"30",20137,0.0972167987572519,1951,30,"prcp","nclim"
"31",20137,0.355464210792592,1951,31,"prcp","nclim"
"32",20137,0,1951,32,"prcp","nclim"
"33",20137,0,1951,33,"prcp","nclim"
"34",20137,0,1951,34,"prcp","nclim"
"35",20137,0,1951,35,"prcp","nclim"
"36",20137,0,1951,36,"prcp","nclim"
"37",20137,0,1951,37,"prcp","nclim"
"38",20137,0,1951,38,"prcp","nclim"
"39",20137,0,1951,39,"prcp","nclim"
"40",20137,0,1951,40,"prcp","nclim"
"41",20137,0,1951,41,"prcp","nclim"
"42",20137,0,1951,42,"prcp","nclim"
"43",20137,0,1951,43,"prcp","nclim"
"44",20137,0.36159078952644,1951,44,"prcp","nclim"
"45",20137,0,1951,45,"prcp","nclim"
"46",20137,0.0013183333110391,1951,46,"prcp","nclim"
"47",20137,0.00486653505971557,1951,47,"prcp","nclim"
"48",20137,0,1951,48,"prcp","nclim"
"49",20137,0,1951,49,"prcp","nclim"
"50",20137,0,1951,50,"prcp","nclim"
"51",20137,0,1951,51,"prcp","nclim"
"52",20137,0,1951,52,"prcp","nclim"
"53",20137,0,1951,53,"prcp","nclim"
"54",20137,0,1951,54,"prcp","nclim"
"55",20137,0.00214811400428676,1951,55,"prcp","nclim"
"56",20137,0.382178728798764,1951,56,"prcp","nclim"
"57",20137,0.267055043754609,1951,57,"prcp","nclim"
"58",20137,0.000248464919103865,1951,58,"prcp","nclim"
"59",20137,1.53368249671501,1951,59,"prcp","nclim"
"60",20137,0,1951,60,"prcp","nclim"
"61",20137,0.494717193107333,1951,61,"prcp","nclim"
"62",20137,0.0940359647794251,1951,62,"prcp","nclim"
"63",20137,0,1951,63,"prcp","nclim"
"64",20137,0,1951,64,"prcp","nclim"
"65",20137,0,1951,65,"prcp","nclim"
"66",20137,0,1951,66,"prcp","nclim"
"67",20137,0,1951,67,"prcp","nclim"
"68",20137,0,1951,68,"prcp","nclim"
"69",20137,0,1951,69,"prcp","nclim"
"70",20137,0.25035833283736,1951,70,"prcp","nclim"
"71",20137,0,1951,71,"prcp","nclim"
"72",20137,0,1951,72,"prcp","nclim"
"73",20137,0,1951,73,"prcp","nclim"
"74",20137,0,1951,74,"prcp","nclim"
"75",20137,0,1951,75,"prcp","nclim"
"76",20137,0.121931228149486,1951,76,"prcp","nclim"
"77",20137,0.128406622368646,1951,77,"prcp","nclim"
